X,GENEID,Alignment.x,Rank.x,baseMean.x,Alignment.y,Rank.y,baseMean.y,logMeanExpression,RankDiff,MeanRank,num.trans,Description,Gene_name,Somatic_recombination_before_transcription,Variant_Alleles,Dfam_conserved,Dfam_simple
44,ENSG00000253203,STAR,2333,311.6311344,HISAT2,1989,169.3925373,5.982240645,344,2161,2,GUSB pseudogene 3,GUSBP3,,978,29,2
45,ENSG00000225419,STAR,4359,2543.788791,HISAT2,4016,943.8986175,8.011599888,343,4187.5,1,ribosomal protein L21 pseudogene 3,RPL21P3,,201,1,0
46,ENSG00000134184,STAR,2289,199.526657,HISAT2,2630,148.3417072,5.612023521,-341,2459.5,8,glutathione S-transferase mu 1,GSTM1,,3790,2,0
47,ENSG00000184619,STAR,3192,165.2290628,HISAT2,2853,153.6942377,5.489252477,339,3022.5,4,KRAB-A domain containing 2,KRBA2,,4888,6,0
48,ENSG00000099783,STAR,3930,441.9176197,HISAT2,3606,414.1820299,6.475446021,324,3768,17,heterogeneous nuclear ribonucleoprotein M,HNRNPM ,,11900,24,0
49,ENSG00000244021,STAR,4358,6152.389028,HISAT2,4037,6711.092641,9.159882029,321,4197.5,1,ribosomal protein L21 (RPL21) pseudogene,AC093591.1,,106,0,0
50,ENSG00000134153,STAR,3803,487.9839577,HISAT2,3483,468.1676232,6.582118998,320,3643,4,ER membrane protein complex subunit 7 ,EMC7,,3855,17,0
51,ENSG00000213089,STAR,1795,208.2280149,HISAT2,2113,106.0314134,5.565453771,-318,1954,1,PDCL3 pseudogene 5,PDCL3P5 ,,165,0,0
52,ENSG00000168778,STAR,3642,375.455235,HISAT2,3324,353.8276116,6.314216375,318,3483,4,tectonic family member 2,TCTN2 ,,8872,35,0
53,ENSG00000258016,STAR,3089,579.0985893,HISAT2,2776,358.7300972,6.631294858,313,2932.5,NA,,,,,,
54,ENSG00000144741,STAR,3749,573.8851103,HISAT2,3436,545.497322,6.741268218,313,3592.5,6,,,,,,
55,ENSG00000215179,STAR,1179,38.62077384,HISAT2,867,24.86146317,3.932835033,312,1023,NA,,,,,,
56,ENSG00000104408,STAR,3390,26384.20926,HISAT2,3081,24720.39372,10.56474167,309,3235.5,NA,,,,,,
57,ENSG00000178082,STAR,3864,638.8275415,HISAT2,3555,455.1391674,6.764343378,309,3709.5,NA,,,,,,
58,ENSG00000141098,STAR,2101,115.3048181,HISAT2,1793,107.4623328,5.130111618,308,1947,NA,,,,,,
59,ENSG00000260528,STAR,2363,149.483966,HISAT2,2055,85.85468645,5.259635317,308,2209,NA,,,,,,
60,ENSG00000220842,STAR,4372,19754.81517,HISAT2,4065,16107.20697,10.23309408,307,4218.5,1,,,,,,
61,ENSG00000226535,STAR,951,57.49835761,HISAT2,648,26.27623659,4.257546667,303,799.5,NA,,,,,,
62,ENSG00000279267,STAR,3945,749.5710182,HISAT2,3643,603.7527898,6.957922983,302,3794,NA,,,,,,
63,ENSG00000148335,STAR,2254,110.5885759,HISAT2,1955,99.95419612,5.078703043,299,2104.5,NA,,,,,,
64,ENSG00000164398,STAR,1542,140.5213067,HISAT2,1246,133.2904154,5.333522887,296,1394,NA,,,,,,
65,ENSG00000138433,STAR,4392,1815.638351,HISAT2,4098,1602.927677,7.86982295,294,4245,NA,,,,,,
66,ENSG00000236972,STAR,2981,456.9681043,HISAT2,3274,354.9779933,6.452769674,-293,3127.5,NA,,,,,,
67,ENSG00000188690,STAR,2496,115.7554783,HISAT2,2206,109.6067279,5.139080353,290,2351,NA,,,,,,
68,ENSG00000229944,STAR,4407,3388.636777,HISAT2,4117,2431.619088,8.434777707,290,4262,NA,,,,,,
69,ENSG00000166557,STAR,3252,260.8940556,HISAT2,2963,243.3267169,5.946878744,289,3107.5,NA,,,,,,
70,ENSG00000186523,STAR,2459,294.9127451,HISAT2,2173,258.3493342,6.049939595,286,2316,2,,,,,,
71,ENSG00000242060,STAR,3920,1669.645955,HISAT2,3634,1146.572711,7.715539356,286,3777,1,,,,,,
72,ENSG00000237729,STAR,4326,1642.666822,HISAT2,4042,1081.001857,7.688532198,284,4184,NA,,,,,,
73,ENSG00000225972,STAR,3740,8545.550527,HISAT2,3458,7880.800833,9.432359367,282,3599,1,,,,,,
74,ENSG00000280022,STAR,1334,51.89345701,HISAT2,1053,41.41348965,4.284967702,281,1193.5,NA,,,,,,
75,ENSG00000144134,STAR,3321,772.5906565,HISAT2,3040,716.0702453,7.030526545,281,3180.5,NA,,,,,,
76,ENSG00000140497,STAR,3211,229.4871928,HISAT2,2931,216.7240844,5.822599746,280,3071,NA,,,,,,
77,ENSG00000089041,STAR,544,13.17422679,HISAT2,267,10.379811,2.91039943,277,405.5,NA,,,,,,
78,ENSG00000254373,STAR,1884,101.5209876,HISAT2,2159,368.6160411,5.655393759,-275,2021.5,NA,,,,,,
79,ENSG00000183513,STAR,3855,427.2852721,HISAT2,3580,414.6996521,6.453050185,275,3717.5,5,,,,,,
80,ENSG00000173320,STAR,4089,1171.387918,HISAT2,3815,1126.709694,7.458614419,274,3952,NA,,,,,,
81,ENSG00000203499,STAR,1819,120.8336808,HISAT2,1548,112.663246,5.177083217,271,1683.5,NA,,,,,,
82,ENSG00000274265,STAR,4101,506.30815,HISAT2,3830,430.1651013,6.581180878,271,3965.5,NA,,,,,,
83,ENSG00000154608,STAR,4013,1107.017915,HISAT2,3743,1044.949933,7.39602413,270,3878,NA,,,,,,
84,ENSG00000167186,STAR,4029,501.0514206,HISAT2,3760,482.2128294,6.609561937,269,3894.5,NA,,,,,,
85,ENSG00000176463,STAR,3960,558.1866185,HISAT2,3692,534.1444482,6.715697086,268,3826,NA,,,,,,
86,ENSG00000224020,STAR,3181,200.3846447,HISAT2,2914,189.7594215,5.687871075,267,3047.5,NA,,,,,,
87,ENSG00000240024,STAR,3376,350.071842,HISAT2,3109,334.5895829,6.248751779,267,3242.5,4,,,,,,
88,ENSG00000196683,STAR,3997,2500.784179,HISAT2,3730,2288.211366,8.201081428,267,3863.5,NA,,,,,,
89,ENSG00000250144,STAR,3610,524.9275776,HISAT2,3344,261.1653755,6.485413963,266,3477,1,,,,,,
90,ENSG00000158483,STAR,843,61.19775089,HISAT2,579,47.43613568,4.441660398,264,711,NA,,,,,,
91,ENSG00000215441,STAR,1889,204.4456143,HISAT2,1625,172.675956,5.672579322,264,1757,1,,,,,,
92,ENSG00000240785,STAR,2482,150.1569932,HISAT2,2221,115.7969354,5.337804683,261,2351.5,2,,,,,,
93,ENSG00000228929,STAR,4201,2626.795482,HISAT2,3940,2518.534003,8.265151709,261,4070.5,1,,,,,,
94,ENSG00000185808,STAR,3665,511.7395611,HISAT2,3406,484.6201666,6.625458207,259,3535.5,NA,,,,,,
95,ENSG00000243181,STAR,3994,3115.338557,HISAT2,4250,3506.041473,8.490512259,-256,4122,1,,,,,,
96,ENSG00000242562,STAR,2302,134.283009,HISAT2,2557,97.12295432,5.208635989,-255,2429.5,1,,,,,,
97,ENSG00000267106,STAR,2869,353.549968,HISAT2,2614,332.317392,6.253268393,255,2741.5,NA,,,,,,
98,ENSG00000184188,STAR,598,43.91772048,HISAT2,344,38.26049194,4.143895809,254,471,NA,,,,,,
99,ENSG00000198312,STAR,1705,400.4328079,HISAT2,1451,293.7996269,6.305056701,254,1578,1,,,,,,
100,ENSG00000215039,STAR,2066,73.36391585,HISAT2,1813,66.07419233,4.667215088,253,1939.5,NA,,,,,,
101,ENSG00000233579,STAR,1532,45.66273401,HISAT2,1280,44.00334098,4.214560259,252,1406,1,,,,,,
102,ENSG00000229358,STAR,2235,137.5357078,HISAT2,1983,121.7350081,5.290301383,252,2109,NA,,,,,,
103,ENSG00000264350,STAR,3925,883.4030842,HISAT2,3673,450.1094895,7.010724985,252,3799,NA,,,,,,
104,ENSG00000235559,STAR,2475,142.7499644,HISAT2,2224,132.8163057,5.343090508,251,2349.5,NA,,,,,,
105,ENSG00000182667,STAR,2650,168.0036846,HISAT2,2399,158.3936208,5.510199728,251,2524.5,NA,,,,,,
106,ENSG00000143772,STAR,2722,287.4683905,HISAT2,2471,271.4754216,6.047859298,251,2596.5,3,,,,,,
107,ENSG00000166446,STAR,3279,254.9160883,HISAT2,3029,251.1952162,5.941522172,250,3154,NA,,,,,,
108,ENSG00000147642,STAR,3144,290.3774031,HISAT2,2895,282.6725789,6.06776262,249,3019.5,NA,,,,,,
109,ENSG00000122026,STAR,4370,34253.88434,HISAT2,4121,14221.3737,10.63018003,249,4245.5,NA,,,,,,
110,ENSG00000214113,STAR,3681,1037.232102,HISAT2,3433,940.004677,7.318031754,248,3557,NA,,,,,,
111,ENSG00000286488,STAR,887,22.77382141,HISAT2,640,22.96223922,3.533830818,247,763.5,NA,,,,,,
112,ENSG00000159259,STAR,1543,55.48732579,HISAT2,1296,52.06913215,4.400871596,247,1419.5,3,,,,,,
113,ENSG00000133460,STAR,2813,225.5901014,HISAT2,2566,209.7493202,5.800500032,247,2689.5,22,,,,,,
114,ENSG00000234498,STAR,3700,2527.454745,HISAT2,3454,2027.031924,8.172156179,246,3577,1,,,,,,
115,ENSG00000178927,STAR,985,67.36623992,HISAT2,1229,52.40570738,4.538700133,-244,1107,NA,,,,,,
116,ENSG00000145002,STAR,1749,130.5580296,HISAT2,1506,121.8665649,5.25484244,243,1627.5,NA,,,,,,
117,ENSG00000180616,STAR,2483,267.6754349,HISAT2,2241,244.0566909,5.965386913,242,2362,2,,,,,,
118,ENSG00000140057,STAR,3825,477.8572291,HISAT2,3583,463.553568,6.564749363,242,3704,5,,,,,,
119,ENSG00000126861,STAR,3287,428.5793307,HISAT2,3046,418.1317322,6.457782011,241,3166.5,4,,,,,,
120,ENSG00000158850,STAR,3894,367.7261909,HISAT2,3654,352.983439,6.299349737,240,3774,NA,,,,,,
121,ENSG00000154330,STAR,2456,139.1512139,HISAT2,2218,130.6698755,5.320500255,238,2337,NA,,,,,,
122,ENSG00000247679,STAR,2951,225.8882281,HISAT2,2713,215.1733865,5.809567664,238,2832,NA,,,,,,
123,ENSG00000258427,STAR,3214,406.7694447,HISAT2,3452,348.1349909,6.364470064,-238,3333,NA,,,,,,
124,ENSG00000225883,STAR,1641,444.7438528,HISAT2,1404,329.8797907,6.412940377,237,1522.5,1,,,,,,
125,ENSG00000255406,STAR,2293,93.71210478,HISAT2,2056,88.09363132,4.925505204,237,2174.5,NA,,,,,,
126,ENSG00000140479,STAR,2657,168.57818,HISAT2,2420,157.268815,5.510248645,237,2538.5,NA,,,,,,
127,ENSG00000155621,STAR,3561,533.5660995,HISAT2,3798,500.3518416,6.66407991,-237,3679.5,NA,,,,,,
128,ENSG00000172345,STAR,151,15.63895708,HISAT2,387,28.17194778,3.39198612,-236,269,NA,,,,,,
129,ENSG00000273015,STAR,2796,358.7963021,HISAT2,2560,350.5481449,6.280527618,236,2678,NA,,,,,,
130,ENSG00000189227,STAR,1107,45.55571574,HISAT2,872,41.3275628,4.192974938,235,989.5,4,,,,,,
131,ENSG00000126870,STAR,2970,331.8918109,HISAT2,2735,310.8663658,6.188931239,235,2852.5,NA,,,,,,
132,ENSG00000177732,STAR,3333,389.6326853,HISAT2,3098,369.8388138,6.353590767,235,3215.5,1,,,,,,
133,ENSG00000198382,STAR,4241,1323.983255,HISAT2,4006,1280.907335,7.58296093,235,4123.5,9,,,,,,
134,ENSG00000205871,STAR,4282,7044.828531,HISAT2,4047,4411.637578,9.132448809,235,4164.5,1,,,,,,
135,ENSG00000143162,STAR,3436,279.5615598,HISAT2,3202,271.3429914,6.028839942,234,3319,2,,,,,,
136,ENSG00000248477,STAR,2082,91.54493231,HISAT2,1849,84.44410773,4.896099377,233,1965.5,2,,,,,,
137,ENSG00000131323,STAR,2234,82.11220322,HISAT2,2001,78.50481696,4.798799335,233,2117.5,NA,,,,,,
138,ENSG00000134851,STAR,4107,675.6877836,HISAT2,3875,652.6945676,6.909788278,232,3991,NA,,,,,,
139,ENSG00000151715,STAR,2080,106.2173496,HISAT2,2310,99.71459191,5.05033439,-230,2195,5,,,,,,
140,ENSG00000185885,STAR,2636,5588.847448,HISAT2,2406,5098.255073,9.004296655,230,2521,NA,,,,,,
141,ENSG00000132716,STAR,3883,553.243708,HISAT2,3653,533.4318652,6.70925512,230,3768,NA,,,,,,
142,ENSG00000137074,STAR,3948,1660.824467,HISAT2,3718,1589.030783,7.806020466,230,3833,NA,,,,,,
143,ENSG00000139182,STAR,1271,33.83191638,HISAT2,1042,32.10955051,3.909754267,229,1156.5,16,,,,,,
144,ENSG00000233729,STAR,1195,37.4465468,HISAT2,967,35.91560913,4.014658135,228,1081,NA,,,,,,
145,ENSG00000103855,STAR,3051,218.9010302,HISAT2,2823,202.4712914,5.768748017,228,2937,NA,,,,,,
146,ENSG00000087995,STAR,3758,1090.028521,HISAT2,3531,1010.977914,7.3749534,227,3644.5,NA,,,,,,
147,ENSG00000160188,STAR,3288,251.2072537,HISAT2,3062,235.2265361,5.910310135,226,3175,NA,,,,,,
148,ENSG00000140297,STAR,418,14.26988745,HISAT2,193,11.86097543,3.005701177,225,305.5,NA,,,,,,
149,ENSG00000269825,STAR,1906,92.36566391,HISAT2,1681,84.86736099,4.903787335,225,1793.5,NA,,,,,,
150,ENSG00000134324,STAR,3640,1240.728578,HISAT2,3416,1186.148815,7.514147223,224,3528,NA,,,,,,
151,ENSG00000149196,STAR,3974,2421.692968,HISAT2,4198,2134.991927,8.15742459,-224,4086,NA,,,,,,
152,ENSG00000168918,STAR,2256,103.6531405,HISAT2,2033,99.06201081,5.031640766,223,2144.5,14,,,,,,
153,ENSG00000232573,STAR,3813,4203.814761,HISAT2,3590,4675.710634,8.785947775,223,3701.5,1,,,,,,
154,ENSG00000233012,STAR,3539,337.6618738,HISAT2,3318,329.7469706,6.219666004,221,3428.5,2,,,,,,
155,ENSG00000228022,STAR,617,20.7801865,HISAT2,837,19.10758037,3.412268427,-220,727,NA,,,,,,
156,ENSG00000245910,STAR,3833,865.3480046,HISAT2,3613,847.0165443,7.161510497,220,3723,NA,,,,,,
157,ENSG00000270605,STAR,1558,119.0265655,HISAT2,1339,112.7845945,5.167176615,219,1448.5,NA,,,,,,
158,ENSG00000117643,STAR,2763,181.00785,HISAT2,2544,169.4426073,5.582477571,219,2653.5,NA,,,,,,
159,ENSG00000232593,STAR,3104,714.7308597,HISAT2,2885,684.1464686,6.963004627,219,2994.5,NA,,,,,,
160,ENSG00000184047,STAR,1470,43.11602856,HISAT2,1252,41.49753564,4.156768292,218,1361,NA,,,,,,
161,ENSG00000237238,STAR,1228,723.1968862,HISAT2,1011,576.0848533,6.9189319,217,1119.5,2,,,,,,
162,ENSG00000167191,STAR,3448,358.1873205,HISAT2,3231,347.6127952,6.276631681,217,3339.5,NA,,,,,,
163,ENSG00000146425,STAR,4125,8073.947341,HISAT2,3908,7713.078653,9.386852308,217,4016.5,NA,,,,,,
164,ENSG00000106686,STAR,2246,126.5594458,HISAT2,2030,121.3964591,5.232485612,216,2138,NA,,,,,,
165,ENSG00000005059,STAR,1797,118.312352,HISAT2,2012,113.8751555,5.166213125,-215,1904.5,NA,,,,,,
166,ENSG00000087303,STAR,2134,317.669205,HISAT2,1919,299.5350295,6.147263981,215,2026.5,NA,,,,,,
167,ENSG00000166352,STAR,4379,1806.65696,HISAT2,4165,1697.933039,7.884434738,214,4272,NA,,,,,,
168,ENSG00000162415,STAR,2137,196.1051344,HISAT2,1924,190.4707728,5.674492758,213,2030.5,2,,,,,,
169,ENSG00000197712,STAR,3639,715.8279199,HISAT2,3426,686.4515756,6.96513106,213,3532.5,NA,,,,,,
170,ENSG00000215030,STAR,3773,672.6510312,HISAT2,3560,586.5919184,6.873108957,213,3666.5,1,,,,,,
171,ENSG00000271943,STAR,877,72.07171876,HISAT2,665,35.39140165,4.497222099,212,771,NA,,,,,,
172,ENSG00000138641,STAR,2377,101.7095206,HISAT2,2589,99.37523927,5.019906452,-212,2483,1,,,,,,
173,ENSG00000236252,STAR,1077,113.2214381,HISAT2,1288,73.69950129,5.011109773,-211,1182.5,2,,,,,,
174,ENSG00000147145,STAR,2828,311.1191236,HISAT2,2617,298.111909,6.131607022,211,2722.5,NA,,,,,,
175,ENSG00000219133,STAR,4078,6117.915708,HISAT2,3867,4171.884713,9.012359818,211,3972.5,1,,,,,,
176,ENSG00000140945,STAR,2454,294.9089767,HISAT2,2244,273.2411453,6.067335989,210,2349,NA,,,,,,
177,ENSG00000099622,STAR,4116,568.5141418,HISAT2,3906,523.8972831,6.721983116,210,4011,NA,,,,,,
178,ENSG00000179523,STAR,3647,445.1280701,HISAT2,3438,425.014312,6.48865041,209,3542.5,NA,,,,,,
179,ENSG00000146856,STAR,1954,85.52536194,HISAT2,1746,83.24067666,4.845333675,208,1850,NA,,,,,,
180,ENSG00000260261,STAR,3087,164.0546349,HISAT2,2879,152.2249528,5.481334978,208,2983,NA,,,,,,
181,ENSG00000216657,STAR,1500,113.3954131,HISAT2,1293,127.0459371,5.175688506,207,1396.5,NA,,,,,,
182,ENSG00000185942,STAR,2122,713.000886,HISAT2,1915,682.5776592,6.960622564,207,2018.5,NA,,,,,,
183,ENSG00000218996,STAR,3292,523.5542099,HISAT2,3085,473.0109951,6.633396993,207,3188.5,NA,,,,,,
184,ENSG00000127314,STAR,4339,2046.971445,HISAT2,4132,1950.787812,8.013795033,207,4235.5,NA,,,,,,
185,ENSG00000233559,STAR,2215,83.32717825,HISAT2,2009,80.84995781,4.818280833,206,2112,NA,,,,,,
186,ENSG00000261087,STAR,3200,388.8800171,HISAT2,2994,373.1108472,6.355127042,206,3097,NA,,,,,,
187,ENSG00000095485,STAR,3714,622.5197573,HISAT2,3508,575.7824628,6.813896133,206,3611,NA,,,,,,
188,ENSG00000131375,STAR,4054,794.6059181,HISAT2,3848,760.5334598,7.068915036,206,3951,NA,,,,,,
189,ENSG00000203875,STAR,4213,2864.636858,HISAT2,4008,2597.433287,8.334076159,205,4110.5,NA,,,,,,
190,ENSG00000186094,STAR,1126,44.48377464,HISAT2,1330,41.13716379,4.175192431,-204,1228,NA,,,,,,
191,ENSG00000285593,STAR,1567,140.9009991,HISAT2,1363,132.0839361,5.332443234,204,1465,NA,,,,,,
192,ENSG00000209082,STAR,2544,205.6900538,HISAT2,2748,149.1466887,5.635729869,-204,2646,NA,,,,,,
193,ENSG00000161542,STAR,3521,571.9467847,HISAT2,3317,547.1654521,6.739963071,204,3419,NA,,,,,,
194,ENSG00000115486,STAR,3612,596.7343244,HISAT2,3408,565.5361398,6.779356286,204,3510,NA,,,,,,
195,ENSG00000226688,STAR,1381,69.28808482,HISAT2,1178,64.50148981,4.620441284,203,1279.5,NA,,,,,,
196,ENSG00000136933,STAR,3085,396.0144303,HISAT2,2882,373.6631845,6.367923039,203,2983.5,NA,,,,,,
197,ENSG00000249859,STAR,3314,263.8108026,HISAT2,3111,248.6051651,5.961297527,203,3212.5,NA,,,,,,
198,ENSG00000146281,STAR,3949,1565.424836,HISAT2,3746,1507.947218,7.74906314,203,3847.5,1,,,,,,
199,ENSG00000205336,STAR,1260,117.2175489,HISAT2,1058,106.8226523,5.139490876,202,1159,NA,,,,,,
200,ENSG00000115904,STAR,3655,1625.43762,HISAT2,3453,1582.020711,7.790053962,202,3554,NA,,,,,,
201,ENSG00000183723,STAR,3830,481.5046879,HISAT2,3628,467.7296991,6.572799245,202,3729,NA,,,,,,
202,ENSG00000175087,STAR,4060,1664.268765,HISAT2,3858,1634.501124,7.816626284,202,3959,NA,,,,,,
203,ENSG00000137714,STAR,2729,198.9918375,HISAT2,2528,190.4423162,5.68430398,201,2628.5,1,,,,,,
204,ENSG00000103642,STAR,3055,387.5260667,HISAT2,3256,364.2044318,6.344984012,-201,3155.5,NA,,,,,,
205,ENSG00000104419,STAR,1492,79.21005966,HISAT2,1692,74.0619233,4.755665805,-200,1592,NA,,,,,,
206,ENSG00000233293,STAR,1561,43.8748927,HISAT2,1361,38.27332878,4.143318155,200,1461,NA,,,,,,
207,ENSG00000167632,STAR,1920,75.66236153,HISAT2,1720,72.03940037,4.7156561,200,1820,NA,,,,,,
208,ENSG00000253366,STAR,2511,255.5041836,HISAT2,2711,173.3243951,5.835297113,-200,2611,NA,,,,,,
209,ENSG00000161791,STAR,1791,70.95604433,HISAT2,1592,68.28791029,4.654912273,199,1691.5,NA,,,,,,
210,ENSG00000109944,STAR,3380,685.7701401,HISAT2,3182,639.4368293,6.913228827,198,3281,NA,,,,,,
211,ENSG00000176681,STAR,3479,471.6371073,HISAT2,3677,406.2443509,6.514356009,-198,3578,3,,,,,,
212,ENSG00000149636,STAR,3615,597.2575596,HISAT2,3417,579.5050197,6.787856334,198,3516,NA,,,,,,
